epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5246,2.06582,3.2628,2.20914,1.95745,0.83105,0.66613,0.74477,0.49601,0.87318,0.64182,0.73831,0.49658,1.1853,1.87642,0.95224,1.41829,0.0685143,0.00165714,0.00165714
2,71.614,1.10234,1.66913,0.85617,1.25869,0.95164,0.75203,0.82419,0.61591,0.9488,0.75092,0.82086,0.60043,0.89037,1.43218,0.62944,1.14635,0.0368147,0.0032909,0.0032909
3,108.13,0.9594,1.39768,0.68099,1.13348,0.95066,0.78062,0.85129,0.65953,0.95104,0.77147,0.84266,0.63153,0.76497,1.25599,0.54043,1.05037,0.00508214,0.00489166,0.00489166
4,143.961,0.86919,1.23173,0.59882,1.07541,0.95662,0.7812,0.85684,0.67016,0.96435,0.78282,0.85533,0.66031,0.74951,1.10205,0.5012,1.02654,0.0048515,0.0048515,0.0048515
5,179.41,0.80398,1.14306,0.5471,1.03885,0.949,0.80875,0.86895,0.69662,0.94963,0.80875,0.87642,0.68437,0.68176,1.03501,0.43749,0.98749,0.004802,0.004802,0.004802
6,214.744,0.77643,1.08104,0.51281,1.01348,0.94841,0.8045,0.87478,0.70689,0.94651,0.80307,0.87175,0.69863,0.64699,0.96814,0.42665,0.96892,0.0047525,0.0047525,0.0047525
7,250.636,0.74905,1.04316,0.49,0.99774,0.94423,0.82322,0.88132,0.71962,0.94351,0.82334,0.87369,0.69378,0.63513,0.95493,0.40116,0.95364,0.004703,0.004703,0.004703
8,285.785,0.72715,1.00855,0.47159,0.9797,0.95638,0.81686,0.88111,0.71243,0.96397,0.82334,0.88649,0.69911,0.63139,0.95208,0.40796,0.95201,0.0046535,0.0046535,0.0046535
9,321.752,0.71181,0.97757,0.45916,0.97297,0.93711,0.80713,0.88114,0.72175,0.9666,0.79734,0.88443,0.70001,0.60705,0.94914,0.39488,0.94523,0.004604,0.004604,0.004604
10,358.16,0.70173,0.96625,0.44867,0.96934,0.9584,0.8201,0.89441,0.72932,0.96795,0.8363,0.89971,0.71404,0.62432,0.88327,0.37532,0.94247,0.0045545,0.0045545,0.0045545
11,394.596,0.68453,0.93542,0.43596,0.96003,0.95096,0.82334,0.89019,0.72601,0.95709,0.83149,0.89918,0.72362,0.60387,0.89438,0.36799,0.93297,0.004505,0.004505,0.004505
12,431.161,0.6843,0.94161,0.42965,0.95418,0.97234,0.82658,0.89603,0.72855,0.97577,0.8282,0.90196,0.71156,0.60858,0.86681,0.37335,0.93021,0.0044555,0.0044555,0.0044555
13,467.063,0.67049,0.91772,0.42255,0.95024,0.95302,0.83144,0.90315,0.74019,0.96065,0.83468,0.90089,0.71613,0.61079,0.86924,0.35544,0.93214,0.004406,0.004406,0.004406
14,503.109,0.66337,0.91147,0.41519,0.94243,0.96388,0.84117,0.90114,0.74685,0.96122,0.8437,0.90555,0.72146,0.58134,0.81853,0.35703,0.91895,0.0043565,0.0043565,0.0043565
15,538.714,0.6509,0.89226,0.40867,0.93918,0.95248,0.84456,0.90631,0.75414,0.96529,0.85651,0.91535,0.72947,0.5645,0.81578,0.34636,0.91001,0.004307,0.004307,0.004307
16,574.204,0.65353,0.8923,0.4056,0.93728,0.97339,0.82496,0.90184,0.75137,0.96997,0.83306,0.90342,0.72626,0.57214,0.81243,0.3393,0.91228,0.0042575,0.0042575,0.0042575
17,609.191,0.64104,0.86879,0.39946,0.92998,0.95877,0.84927,0.90755,0.75215,0.96059,0.85089,0.91127,0.75157,0.58317,0.8175,0.34315,0.91314,0.004208,0.004208,0.004208
18,644.47,0.63788,0.86883,0.38828,0.93178,0.9753,0.83955,0.90397,0.75859,0.97724,0.83495,0.90962,0.74322,0.57169,0.79001,0.33687,0.90982,0.0041585,0.0041585,0.0041585
19,679.662,0.63207,0.86816,0.39107,0.92784,0.96764,0.83468,0.90013,0.75865,0.97512,0.84765,0.90944,0.7426,0.56324,0.78474,0.32922,0.90521,0.004109,0.004109,0.004109
20,714.53,0.62752,0.85005,0.38379,0.92479,0.97146,0.8275,0.8985,0.76016,0.97425,0.83793,0.90445,0.7403,0.54205,0.79252,0.32148,0.90481,0.0040595,0.0040595,0.0040595
21,750.214,0.6258,0.84887,0.38009,0.92321,0.96174,0.84117,0.90433,0.75966,0.95649,0.85518,0.91269,0.75215,0.55218,0.79979,0.32762,0.90507,0.00401,0.00401,0.00401
22,786.789,0.61865,0.84439,0.37959,0.92014,0.94652,0.86062,0.90487,0.76481,0.957,0.87034,0.91647,0.74247,0.55178,0.78096,0.32111,0.90371,0.0039605,0.0039605,0.0039605
23,822.631,0.61269,0.82183,0.37401,0.91827,0.96809,0.84603,0.90902,0.7677,0.97136,0.859,0.91639,0.75706,0.54009,0.76504,0.32129,0.89599,0.003911,0.003911,0.003911
24,858.079,0.60956,0.82795,0.37235,0.91646,0.95952,0.84511,0.90823,0.76255,0.97166,0.85413,0.91698,0.75256,0.55902,0.78055,0.3238,0.90663,0.0038615,0.0038615,0.0038615
25,893.866,0.60809,0.82627,0.36843,0.91739,0.9758,0.84279,0.91423,0.77629,0.98137,0.8538,0.92075,0.75706,0.5264,0.75322,0.3091,0.88974,0.003812,0.003812,0.003812
26,929.797,0.60765,0.82323,0.36847,0.91586,0.95316,0.85089,0.91083,0.76799,0.95937,0.85575,0.90916,0.7424,0.52415,0.74413,0.32414,0.88522,0.0037625,0.0037625,0.0037625
27,965.301,0.59677,0.80885,0.36253,0.91206,0.9682,0.83887,0.91024,0.77225,0.96739,0.87034,0.92178,0.75393,0.5263,0.74423,0.31652,0.88572,0.003713,0.003713,0.003713
28,1000.99,0.59873,0.80767,0.36046,0.90995,0.95157,0.85979,0.90927,0.76877,0.95695,0.86466,0.91155,0.74334,0.5364,0.74096,0.32334,0.89056,0.0036635,0.0036635,0.0036635
29,1037.08,0.59965,0.82015,0.35818,0.91081,0.95193,0.8665,0.90898,0.76929,0.95905,0.87299,0.91981,0.7439,0.53079,0.75583,0.32035,0.88856,0.003614,0.003614,0.003614
30,1072.69,0.59079,0.7996,0.3538,0.90803,0.97175,0.84927,0.91673,0.77542,0.97945,0.85089,0.9176,0.76681,0.54012,0.74414,0.31062,0.89243,0.0035645,0.0035645,0.0035645
31,1108.23,0.58764,0.7976,0.35131,0.90382,0.9705,0.85251,0.91321,0.78111,0.97369,0.85737,0.91825,0.7648,0.52959,0.73252,0.31222,0.88759,0.003515,0.003515,0.003515
